Acolyte; Medium humanoid (any race); any alignment; 10; ; 9; 2d8; 30 ft.; 10; 10; 10; 10; 14; 11; ; Medicine +4, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/4; 50; ; Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target.<br>Hit: 2 (1d4) bludgeoning damage.; ; Spellcasting.The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with <br>spell attacks). The acolyte has following cleric spells prepared:<br>Cantrips (at will): light, sacred flame, thaumaturgy<br>1st level (3 slots): bless, cure wounds, sanctuary
Adult Blue Dragon; Huge dragon; lawful evil; 19; natural armor; 225; 18d12+108; 40 ft., burrow 30 ft., fly 80 ft.; 25; 10; 23; 16; 15; 19; Dex +5, Con +11, Wis +7, Cha +9; Perception +12, Stealth +5; ; lightning; ; blindsight 60 ft., darkvision 120 ft., passive Perception 22; Common, Draconic; 16; 15,000; ; Multiattack.The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack:+12 to hit, reach 10 ft., one target. <br>Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.<br>Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. <br>Hit:14 (2d6 + 7) slashing damage.<br>Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. <br>Hit:16 (2d8 + 7) bludgeoning damage.<br><br>Lightning Breath (Recharge 5–6). The dragon exhales lightning <br>in a 90-foot line that is 5 feet wide. Each creature in that line <br>must make a DC 19 Dexterity saving throw, taking 66 (12d10) <br>lightning damage on a failed save, or half as much damage on <br>a successful one.; Legendary Resistance (3/Day).If the dragon fails a saving throw, it can choose to succeed instead.<br>The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.<br>Detect.The dragon makes a Wisdom (Perception) check.<br>Tail Attack. The dragon makes a tail attack.<br>Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.; Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Adult White Dragon; Hufe Dragon; chaotic evil; 18; natural armor; 200; 16d12+96; 40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.; 22; 10; 22; 8; 12; 12; Dex +5, Con +11, Wis +6, Cha +6; Perception +11, Stealth +5; ; cold; ; blindsight 60 ft., darkvision 120 ft., passive Perception 21; Common, Draconic; 13; 10,000; ; Multiattack.The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack:+11 to hit, reach 10 ft., one target. <br>Hit:17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.<br>Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. <br>Hit:13 (2d6 + 6) slashing damage.<br>Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. <br>Hit:15 (2d8 + 6) bludgeoning damage.<br>Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.<br>Cold Breath (Recharge 5–6). The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.<br>; Legendary Resistance (3/Day).If the dragon fails a saving throw, it can choose to succeed instead.; Ice Walk.The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.<br>
Air Elemental; Large elemental; neutral; 15; ; 90; 12d10+24; 0 ft., fly 90 ft. (hover); 14; 20; 14; 6; 10; 6; ; ; lightning, thunder, bludgeoning, piercing,  and slashing from nonmagical weapons; poison; exhaustion, grappled, paralyzed,  petrified, poisoned, prone, restrained, unconscious; darkvision 60 ft., passive Perception 10; Auran; 5; 1,800; ; Multiattack. The elemental makes two slam attacks.<br>Slam. Melee Weapon Attack:+8 to hit, reach 5 ft., one target. <br>Hit: 14 (2d8 + 5) bludgeoning damage.<br>Whirlwind (Recharge 4–6).Each creature in the elemental’s space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.If the saving throw is successful, the target takes half the bludgeoning damage and isn’t flung away or knocked prone.<br>; ; Air Form. The elemental can enter a hostile creature’s space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.
Ambush Drake; Medium Dragon; unaligned; 13; natural armor; 22; 4d6+8; 30 ft.; 13; 15; 14; 4; 11; 6; ; Perception +4, Stealth +4; poison; ; ; darkvision 60 ft., passive Perception 14; understands Draconic but can't speak; 1/2; 100; ; Bite.<br>Melee Weapon Attack:+4 to hit, reach 5 ft., one target.<br>Hit:4 (1d6 + 1) piercing damage.; ; Pack Tactics.<br>The drake has advantage on an attack roll against a creature if at least one of the drake's allies is within 5 feet of the creature and the ally isn’t incapacitated.<br>Surprise Attack.<br>If the drake surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Assassin; Medium humanoid (any race); any non-good alignment; 15; studded leather; 78; 12d8+24; 30 ft.; 11; 16; 14; 13; 11; 10; Dex +7, Int +5; Acrobatics +7, Deception +4, Perception +4, Stealth +11; poison; ; ; passive Perception 14; Thieves’ cant plus any two languages; 8; 3,900; ; Multiattack. The assassin makes two shortsword attacks.<br>Shortsword. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. <br>Hit:6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.<br>Light Crossbow. Ranged Weapon Attack:+7 to hit, range 80/320 ft., one target. <br>Hit:7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.<br>; ; Assassinate.During its first turn, the assassin has advantage on attack rolls against any creature that hasn’t taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.<br>Evasion.If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.<br>Sneak Attack (1/Turn).The assassin deals an extra 13 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn’t incapacitated and the assassin doesn’t have disadvantage on the attack roll.<br>
Azbara Jos; Medium Humanoid; lawful evil; 13; 16 with Mage Armor; 39; 6d8+12; 0´30 ft.; 9; 16; 14; 16; 13; 11; Int +5, Wis +3; Arcana +5, Deception +2, Insight +3, Stealth +5; ; ; ; passive Perception 11; Common, Draconic, Infernal, Primordial, Thayan; 4; 1,000; ; Spellcasting:<br>Azbara is a 6th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 13, +5 to hit with spell attacks). Azbara has the following spells prepared from the wizard spell list:<br>Cantrips (at will): mage hand, restidigitation, ray of frost,shocking grasp<br>1st level (4 slots): fog cloud, magic missile, shield, thunderwave<br>2nd level (3 slots): invisibility, misty step, scorching ray<br>3rd level (3 slots): counterspell, dispel magic, fireball<br><br>Dagger. Melee or Ranged Weapon Attack:+5 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit: 5 (1d4 + 3) piercing damage.; ; Special Equipment.<br>Azbara has two scrolls of mage armor.<br><br>Potent Cantrips: When Azbara casts an evocation cantrip and misses, or the target succeeds on its saving throw, the target still takes half the cantrip’s damage but suffers no other effect.<br><br>Sculpt Spells: When Azbara casts an evocation spell that affects other creatures that he can see, he can choose a number of them equal to 1 + the spell’s level to succeed on their saving throws against the spell. Those creatures take no damage if they would normally take half damage from the spell.<br>
Bandit; Medium humanoid (any race); any non-lawful alignment; 12; leather armor; 11; 2d8+2; 30 ft.; 11; 12; 12; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) slashing damage.<br>Light Crossbow. Ranged Weapon Attack:+3 to hit, range 80 ft./320 ft., one target.<br>Hit: 5 (1d8 + 1) piercing damage.<br>; ;
Berserker; Medium humanoid (any race); any chaotic alignment; 13; hide armor; 67; 9d8+27; 30 ft.; 16; 12; 17; 9; 11; 9; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 2; 450; ; Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target.<br>Hit:9 (1d12 + 3) slashing damage.; ; Reckless. At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.
Blagothkus; Huge Giant; neutral evil; 17; splint; 138; 12d12+60; 40 ft.; 26; 13; 20; 16; 15; 15; Con +9, Wis +6, Cha +6; Arcana +7, Insight +6, Intimidation +6, Perception +6; ; ; ; passive Perception 16; Common, Draconic, Giant; 9; 5,000; ; Multiattack. <br>Blagothkus attacks twice with his morningstar.<br>Morningstar. <br> Melee Weapon Attack:+10 to hit, reach 10 ft., one target. <br>Hit:21 (3d8 + 8) piercing damage.; ; Keen Smell. <br>Blagothkus has advantage on Wisdom (Perception) checks that rely on smell.<br>Innate Spellcasting. <br>Blagothkus can innately cast the following spells (spell save DC 15), requiring no material components:<br>3/day each: fog cloud, levitate<br>Spellcasting. <br>Blagothkus is a 5th-level Spellcaster that uses Intelligence as his spellcasting ability (spell save DC 15, +7 to hit with spell attacks). Blagothkus has the following spells <br>prepared from the wizard spell list:<br>Cantrips (at will): light, mage hand, prestidigitation<br>1st level (4 slots): detect magic, identify, magic missile, shield<br>2nd level (3 slots): gust of wind, misty step, shatter<br>3rd level (2 slots): fly, lightning bolt
Bullywug; Medium humanoid (bullywug); neutral evil; 15; hide armor, shield; 11; 2d8+2; 20ft., swim 40ft.; 12; 12; 13; 7; 10; 7; ; Stealth +3; ; ; ; passive Perception 10; Bullywug; 1/4; 50; ; Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear.<br>Bite. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:3 (1d4 + 1) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. Or range 20/60 ft., one target.<br>Hit:4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.<br>; ; Amphibious.The bullywug can breathe air and water.<br>Speak with Frogs and Toads.The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.<br>Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.<br>Standing Leap. The bullywug’s long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Captain Othelstan; Medium Humanoid; lawful evil; 19; splint, shield; 93; 11d10+33; 30 ft.; 19; 10; 16; 13; 14; 12; Str +7. Con +6; Athletics +7, Intimidation +4, Perception +5, Religion +4; ; ; ; passive Perception 15; Common, Draconic, Giant; 5; 1,800; ; Multiattack. Othelstan attacks twice with his flail or spear, or makes two ranged attacks with his spears.<br>Flail. Melee Weapon Attack: +7to hit, reach 5 ft., one target.<br>Hit:8 ( 1d8 + 4) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack:+7 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit: 7 ( 1d6 + 4) piercing damage.; ; Action Surge (Recharges when Othelstan Finishes a Short or Long Rest). On his turn, Othelstan can take one additional action.<br>Tiamat’s Blessing of Retribution.When Othelstan takes damage that reduces him to 0 hit points, he immediately <br>regains 20 hit points. If he has 20 hit points or fewer at the end of his next turn, he dies.
Commoner; Medium humanoid (any race); any alignment; 10; ; 4; 1d8; 30 ft.; 10; 10; 10; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 0; 10; ; Club. Melee Weapon Attack:+2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) bludgeoning damage.; ;
Crocodile; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 20 ft., swim 30 ft.; 15; 10; 13; 2; 10; 5; ; Stealth +2; ; ; ; passive Perception 10; ; 1/2; 100; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can’t bite another target.<br>; ; Hold Breath. The crocodile can hold its breath for 15 minutes.
Cultist; Medium humanoid (any race); any non-good alignment; 12; leather armor; 9; 2d8; 30 ft.; 11; 12; 10; 10; 11; 10; ; Deception +2, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one creature. <br>Hit:4 (1d6 + 1) slashing damage.; ; Dark Devotion.The cultist has advantage on saving throws against being charmed or frightened.
Deer; Medium beast; unaligned; 13; ; 4; 1d8; 50 ft.; 11; 16; 11; 2; 14; 5; ; ; ; ; ; passive Perception 12; ; 0; 10; ; Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) piercing damage.; ;
Doppelganger; Medium monstrosity (shapechanger); neutral; 14; ; 52; 8d8+16; 30 ft.; 11; 18; 14; 11; 12; 14; ; Deception +6, Insight +3; ; ; charmed; darkvision 60 ft., passive Perception 11; Common; 3; 700; ; Multiattack. The doppelganger makes two melee attacks.<br>Slam.Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit:7 (1d6 + 4) bludgeoning damage.<br>Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger’s concentration isn’t broken (as if concentrating on a spell). While reading the target’s mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.<br>; ; Shapechanger.The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.<br>Ambusher. The doppelganger has advantage on attack rolls against any creature it has surprised.<br>Surprise Attack.If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.
Dragonclaw; medium Humanois; neutral evil; 14; leather armor; 16; 3d8+3; 30 ft.; 9; 16; 13; 11; 10; 12; Wis +2; Deception +5, Stealth +5; ; ; ; passive Perception 10; Common, Draconic; 1; 200; ; Multiattack. The dragonclaw attacks twice with its scimitar.<br>Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:6 ( 1d6 + 3) slashing damage.; ; Dragon Fanatic.The dragonclaw has advantage on saving throws against being charmed or frightened. While the <br>dragonclaw can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonclaw ignores the effects of being charmed or frightened.<br><br>Fanatical Advantage. Once per turn, if the dragonclaw makes a weapon attack with advantage on the attack roll and hits, it deals an extra 7 (2d6) damage.<br><br>Pack Tactics.The dragonclaw has advantage on an attack roll against a creature if at least one of the Dragonclaw’s allies is within 5 feet of the creature and the ally isn’t incapacitated.
DragonFang; Medium Humanoid (Human); Neutral Evil; 15; Studded Leather; 78; 12d8 + 24; 30 Ft.; 11; 16; 14; 12; 12; 14; Wis +3; Deception +4, Stealth +5; One of: Acid, Cold, Fire, Lightning, or Poison; ; ; Passive perception 11; Common, Draconic, Infernal; 5; 1800; Dragon Fanatic. The dragonfang has advantage on saving throws against being charmed or frightened. While the dragonfang can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonfang ignores the effects of being charmed or frightened. <br><br>Fanatic Advantage. Once per turn, if the dragonfang makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage.<br><br>Limited Flight. The dragonfang can use a bonus action to gain a flying speed of 30 feet until the end of its turn. <br><br>Pack Tactics. The dragonfang has advantage on an attack roll against a creature if at least one of the dragonfang’s allies is within 5 feet of the creature and the ally isn't incapacitated; Multiattack. The dragonfang attacks twice with its shortsword. <br><br>Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) piercing damage plus 7 (2d6) damage of the type to which the dragonfang has damage resistance. <br><br>Orb o f Dragon’s Breath (2/Day). Ranged Spell Attack: +5 to hit, range 90 ft., one target. Hit: 22 (5d8) damage of the type to which the dragonfang has damage resistance; ; 
DragonSoul; Medium Humanoid (Human); Neutral Evil; 16; Studded Leather; 110; 17d8 + 34; 30 Ft.; 11; 18; 14; 13; 12; 16; Wis +4; Deception +6, Stealth +7; One of the Following: Acid, Cold, Fire, Lightning, or Poison; ; ; Perception 11; Common, Draconic, Infernal; 7; 2900; Dragon Fanatic. The dragonsoul has advantage on saving throws against being charmed or frightened. While the dragonsoul can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonsoul ignores the effects of being charmed or frightened. <br><br>Fanatic Advantage. Once per turn, if the dragonsoul makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage. <br><br>Limited Flight. The dragonsoul can use a bonus action to gain a flying speed of 30 feet until the end of its turn. <br><br>Pack Tactics. The dragonsoul has advantage on an attack roll against a creature if at least one of the dragonsoul's allies is within 5 feet of the creature and the ally isn’t incapacitated.; Multiattack. The dragonsoul attacks twice with its shortsword. <br><br>Shortsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) piercing damage plus 10 (3d6) damage of the type to which the dragonsoul has damage resistance. <br><br>Orb o f Dragon's Breath (3/Day). Ranged Spell Attack: +7 to hit, range 90 ft., one target. Hit: 27 (6d8) damage of the type to which the dragonsoul has damage resistance.; ; 
Dragonwing; Medium Humanoid (Human); Neutral Evil; 14; Leather Armor; 33; 6d8+6; 30 F.; 11; 16; 13; 11; 11; 13; Wis +2; Deception +3, Stealth +5; One of the Following: Acid, Cold, Fire, Lightning, or Poison; ; ; Passive Perception 10; Common, Draconic; 2; 450; Dragon Fanatic: The dragonwing has advantage on saving throws against being charmed or frightened. While the dragonwing can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonwing ignores the effects of being charmed or frightened.<br><br>Fanatical Advantage: Once per turn, if the dragonwing makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 7 (2d6) damage.<br>Limited Flight. The dragonwing can use a bonus action to gain a flying speed of 30 feet until the end of its turn.<br><br>Pack Tactics: The dragonwing has advantage on an attack roll against a creature if at least one of the dragonwing’s allies is within 5 feet of the creature and the ally isn’t incapacitated; Multiattack.  The dragonwing attacks twice with its scimitar.<br><br>Scimitar: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) slashing damage plus 3 (ld6) damage of the type to which the cultist has damage resistance; ; 
Dralmorrer Borngray; Medium Humanoid; neutral evil; 16; studded leather, Shield; 52; 7d10+14; 30 ft.; 18; 14; 14; 16; 10; 8; Str. +6, Con +4; Arcana +5, Deception +1, Insight +2, Perception +2, Religion +5; ; ; ; darkvision 60ft., passive Perception +12; Common, Bullywug, Draconic, Elvish, Goblin, Sylvan; 3; 700; ; Multiattack. Dralmorrer attacks twice, either with his longsword or dagger.<br>Longsword. Melee Weapon Attack:+6 to hit, reach 5 ft., one target. <br>Hit:8 ( 1d8 + 4) slashing damage.<br>Dagger. Melee or Ranged Weapon Attack:+6 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit:6 (1d4 + 4) piercing damage.; ; Fey Ancestry. Dralmorrer has advantage on saving throws against being charmed, and magic can’t put him to sleep.<br>Spellcasting. Dralmorrer is a 7th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 13, +5 <br>to hit with spell attacks). Dralmorrer has the following spells <br>prepared from the wizard spell list:<br>Cantrips (at will): fire bolt, prestidigitation, shocking grasp<br>1st level (4 slots): longstrider, magic missile, shield, thunderwave<br>2nd level (2 slots): magic weapon, misty step<br>War Magic.When Dralmorrer uses his action to cast a cantrip, he can also take a bonus action to make one weapon attack.<br>Weapon Bond. Provided his longsword is on the same plane, Dralmorrer can take a bonus action to teleport it to his hand.
Elk; Large beast; unaligned; 10; ; 13; 2d10+2; 50 ft.; 16; 10; 12; 2; 10; 6; ; ; ; ; ; passive Perception 10; ; 1/4; 50; ; Ram. Melee Weapon Attack:+5 to hit, reach 5 ft., one target.<br>Hit: 6 (1d6 + 3) bludgeoning damage.<br>Hooves. Melee Weapon Attack:+5 to hit, reach 5 ft., one prone creature. <br>Hit:8 (2d4 + 3) bludgeoning damage.<br>; ; Charge.If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.
Ettercap; Medium monstrosity; neutral evil; 13; natural armor; 44; 8d8+8; 30 ft., climb 30 ft.; 14; 15; 13; 7; 12; 8; ; Perception +3, Stealth +4, Survival +3; ; ; ; darkvision 60 ft., passive Perception 13; ; 2; 450; ; Multiattack.The ettercap makes two attacks: one with its bite and one with its claws.<br>Bite.Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>Claws.Melee Weapon Attack:+4 to hit, reach 5 ft., one target. <br>Hit:7 (2d4 + 2) slashing damage.<br>Web (Recharge 5–6).Ranged Weapon Attack:+4 to hit, range 30/60 ft., one Large or smaller creature. Hit:The creature is restrained by webbing. As an action, the restrained creature can make a DC 11 Strength check, escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10, 5 hit points, resistance to bludgeoning damage, and immunity to poison and psychic damage.<br>; ; Spider Climb. The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Web Sense.While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.<br>Web Walker.The ettercap ignores movement restrictions caused by webbing.
Frulam Mondath; medium Humanoid; lawful evil; 16; chain mail; 44; 8d8+8; 30 ft.; 14; 10; 13; 11; 18; 15; Wis +6, Cha +4; Deception +4, History +2, Religion +2; ; ; ; passive Perception 14; Common, Draconic, Infernal; 2; 450; ; Multiattack. Frulam attacks twice with her halberd.<br>Halberd. Melee Weapon Attack:+5 to hit, reach 10 ft., one target.<br>Hit: 7 (1d10 + 2) bludgeoning damage.; ; Spellcasting. Frulam is a 5th-level spellcaster that uses Wisdom as her spellcasting ability (spell save DC 14, +6 to hit with spell attacks). Frulam has the following spells prepared from the cleric spell list:<br>Cantrips (at will): light, sacred fla me, thaumaturgy<br>1st level (4 slots): command, cure wounds, healing word, sanctuary<br>2nd level (3 slots): calm emotions, hold person, spiritual weapon<br>3rd level (2 slots): mass healing word, spirit guardians.
Gargoyle; Medium elemental; chaotic evil; 15; natural armor; 52; 7d8+12; 30 ft., fly 60 ft.; 15; 11; 16; 6; 11; 7; ; ; bludgeoning, piercing, and slashing from  nonmagical weapons that aren’t adamantine; poison; exhaustion, petrified, poisoned; darkvision 60 ft., passive Perception 10; Terran; 2; 450; ; Multiattack. The gargoyle makes two attacks: one with its bite and one with its claws.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) slashing damage.<br>; ; False Appearance. While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.
Giant Centipede; Small beast; unaligned; 13; natural armor; 4; 1d6+1; 30 ft., climb 30 ft.; 5; 14; 12; 1; 7; 3; ; ; ; ; ; blindsight 30 ft., passive Perception 8; ; 1/4; 50; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.<br>; ;
